ProcessPlan,OperationID,OperationName
PP-ADA8DE-01,5,LT
PP-ADA8DE-01,7,Bottom Preparation
PP-ADA8DE-01,10,Bottom Assembly
PP-ADA8DE-01,15,Assembly Merge
PP-ADA8DE-01,20,MAI
PP-ADA8DE-01,30,ST01
PP-ADA8DE-01,40,PROP
PP-ADA8DE-01,50,FT
PP-ADA8DE-01,60,ST02
PP-ADA8DE-01,70,FI
PP-ADA8DE-01,80,Final Assembly
PP-ADA8DE-01,90,Packing
PP-1D7FA6-04,2,Brazing
PP-1D7FA6-04,5,LT
PP-1D7FA6-04,7,Bottom Preparation
PP-1D7FA6-04,10,Bottom Assembly
PP-1D7FA6-04,15,Assembly Merge
PP-1D7FA6-04,20,MAI
PP-1D7FA6-04,30,ST01
PP-1D7FA6-04,40,PROP
PP-1D7FA6-04,50,FT
PP-1D7FA6-04,60,ST02
PP-1D7FA6-04,70,FI
PP-1D7FA6-04,80,Final Assembly
PP-1D7FA6-04,90,Packing
PP-363962-02,2,Brazing
PP-363962-02,5,LT
PP-363962-02,7,Bottom Preparation
PP-363962-02,10,Bottom Assembly
PP-363962-02,15,Assembly Merge
PP-363962-02,20,MAI
PP-363962-02,30,ST01
PP-363962-02,40,PROP
PP-363962-02,50,FT
PP-363962-02,60,ST02
PP-363962-02,70,FI
PP-363962-02,80,Final Assembly
PP-363962-02,90,Packing
PP-4C3DB3-02,2,Brazing
PP-4C3DB3-02,5,LT
PP-4C3DB3-02,7,Bottom Preparation
PP-4C3DB3-02,10,Bottom Assembly
PP-4C3DB3-02,15,Assembly Merge
PP-4C3DB3-02,20,MAI
PP-4C3DB3-02,30,ST01
PP-4C3DB3-02,40,PROP
PP-4C3DB3-02,50,FT
PP-4C3DB3-02,60,ST02
PP-4C3DB3-02,70,FI
PP-4C3DB3-02,80,Final Assembly
PP-4C3DB3-02,90,Packing
PP-9B13DE-00,2,Assembly
PP-9B13DE-00,5,MAI
PP-9B13DE-00,10,ST
PP-9B13DE-00,20,PROP
PP-9B13DE-00,30,FT
PP-9B13DE-00,40,FI
PP-9B13DE-00,50,Packing
