Model,Target_Broken,has_mes_data,total_duration,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,total_process_timespan_seconds,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty,CommissionedMonthIndex,BoilerType_0,BoilerType_1,BoilerType_2,BoilerType_3,DhwType_0,DhwType_1,DhwType_2,first_op_is_assembly,last_op_is_packing,dominant_op_is_assembly
0,0,1,10214.0,7.0,1459.142857142857,7.0,1.0,0.0,1.0,2.0,7.0,4.0,1.0,242614.0,1.0,1.0,10214.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.0,,,0.0,,0.0,,,,0.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,315.0,312.0,0.0,14,0,1,0,0,0,1,0,1,1,1
0,0,1,4726.0,8.0,590.75,8.0,1.0,0.0,2.0,3.0,7.0,4.0,1.0,96327.0,1.0,1.0,4726.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.0,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,352.0,328.0,0.0,14,0,1,0,0,0,0,1,1,1,0
0,0,1,5039.0,9.0,559.8888888888889,9.0,0.0,0.0,3.0,1.0,7.0,4.0,1.0,83503.0,1.0,1.0,5039.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42.0,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,432.0,432.0,0.0,14,0,1,0,0,0,0,1,1,1,0
0,0,1,66531.0,7.0,9504.42857142857,7.0,1.0,1.0,1.0,2.0,7.0,4.0,1.0,273582.0,1.0,1.0,66531.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.0,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,308.0,288.0,0.0,12,0,1,0,0,0,1,0,1,1,1
0,0,1,4464.0,12.0,372.0,12.0,0.0,0.0,6.0,2.0,7.0,4.0,1.0,434399.0,1.0,1.0,4464.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,72.0,,,1.0,,1.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,528.0,488.0,0.0,13,0,1,0,0,0,1,0,1,1,0
1,0,1,143.0,4.0,35.75,4.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,2067.0,1.0,1.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,160.0,160.0,0.0,14,0,1,0,0,0,1,0,1,1,1
0,0,1,58155.0,7.0,8307.857142857143,7.0,1.0,1.0,1.0,2.0,7.0,4.0,1.0,587986.0,1.0,1.0,58155.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.0,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,378.0,378.0,0.0,13,0,0,0,1,0,0,1,1,1,1
0,0,1,4692.0,8.0,586.5,8.0,1.0,0.0,2.0,3.0,7.0,4.0,1.0,101495.0,1.0,1.0,4692.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59.0,,,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,432.0,432.0,0.0,12,0,0,1,0,0,0,1,1,1,0
0,0,1,4738.0,7.0,676.8571428571429,7.0,0.0,0.0,1.0,1.0,7.0,4.0,1.0,76831.0,1.0,1.0,4738.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32.0,,,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,378.0,378.0,0.0,14,0,1,0,0,0,1,0,1,1,1
1,0,1,189.0,5.0,37.8,5.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,71004.0,1.0,1.0,189.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,200.0,200.0,0.0,13,0,1,0,0,0,0,1,1,1,0
