CommissionedAt;State;BoilerType;DhwType;Model;Broken;SerialNumber
08/01/2025 20:18;3;3;2;3;0;SN-8EDFD1-9Y
;2;0;0;3;0;SN-926A98-9Y
;2;0;0;3;0;SN-8D1E3A-97
06/02/2025 14:40;3;3;2;3;0;SN-63CC5D-97
16/12/2024 13:39;3;1;1;3;0;SN-C9BBD0-97
24/03/2025 15:07;3;1;1;3;0;SN-4669C3-9Y
04/11/2024 08:20;5;1;1;3;1;SN-942DDC-9Y
29/11/2024 14:02;3;3;1;3;0;SN-0FE27C-9Y
13/11/2024 16:37;3;1;1;3;0;SN-703107-9Y
;2;0;0;3;0;SN-388912-9Y
24/03/2025 15:51;3;1;1;3;0;SN-F26348-9Y
08/04/2025 12:53;3;2;2;3;0;SN-894D4F-9Y
23/01/2025 16:09;3;2;2;3;0;SN-743356-VY
20/03/2025 12:07;3;3;2;3;0;SN-B108DE-V7
01/04/2025 09:02;3;3;2;3;0;SN-0544C4-VY
28/02/2025 11:45;3;1;1;3;0;SN-B8045B-VY
08/01/2025 13:49;3;2;2;3;0;SN-5CFA82-VY
21/01/2025 17:27;3;1;1;3;0;SN-AFF0BA-VY
;4;0;0;3;0;SN-28D322-V7
;2;0;0;3;0;SN-0A9794-VY
03/04/2025 15:59;3;1;1;3;0;SN-8B3171-VY
21/11/2024 14:43;3;3;1;3;0;SN-332F55-V7
04/12/2024 09:16;3;3;2;3;0;SN-2F431B-V7
08/03/2025 08:32;3;3;2;3;0;SN-F4C3DF-JY
19/03/2025 16:15;3;1;1;3;0;SN-9D167C-JY
15/01/2025 20:58;3;1;1;3;0;SN-F3A305-J7
16/01/2025 16:16;3;3;2;3;0;SN-917B82-J7
12/03/2025 13:15;3;2;2;3;0;SN-F02504-JY
14/03/2025 09:09;3;1;1;3;0;SN-24C6DF-JY
10/12/2024 18:26;3;3;2;3;0;SN-632D83-JY
25/03/2025 13:56;3;1;1;3;0;SN-A5CD87-JY
20/01/2025 16:10;3;3;2;3;1;SN-7D4F3B-JY
31/10/2024 15:23;3;1;1;3;0;SN-D9276F-JY
22/03/2025 12:07;3;1;2;3;0;SN-96DC98-JY
;5;0;0;3;1;SN-4E53DB-JY
21/01/2025 17:49;3;2;2;3;0;SN-1AA681-JY
;2;0;0;3;0;SN-14CA1A-V7
10/02/2025 18:36;3;1;1;3;0;SN-D3EF3F-V7
11/02/2025 16:24;3;1;1;3;0;SN-C0BB82-V7
;2;0;0;3;0;SN-47C321-V7
13/11/2024 14:33;3;3;2;3;0;SN-961D7E-VY
;2;0;0;3;0;SN-D5D887-V7
;4;0;0;3;0;SN-B91512-V7
29/03/2025 19:47;3;1;1;3;0;SN-8C9073-VY
02/03/2025 11:01;3;1;1;3;0;SN-A41AD1-VY
;4;0;0;3;0;SN-ECF06C-2Y
28/11/2024 16:44;3;3;2;3;0;SN-AB6184-2Y
18/10/2024 17:42;5;1;2;3;1;SN-732330-27
26/11/2024 15:35;3;2;2;3;0;SN-137A8B-27
04/04/2025 15:36;3;3;2;3;0;SN-E5D53E-2Y
03/04/2025 09:40;3;1;1;3;0;SN-7C9094-2Y
06/02/2025 12:43;3;1;2;3;0;SN-08F386-2Y
08/04/2025 11:09;3;2;2;3;0;SN-E5BB30-2Y
10/02/2025 15:32;3;3;2;3;0;SN-F9DB2F-27
23/01/2025 17:32;3;2;2;3;0;SN-871240-27
16/03/2025 21:16;3;2;2;3;0;SN-26B7EB-27
;2;0;0;3;0;SN-66AB91-27
27/02/2025 14:28;3;1;1;3;0;SN-69E03C-27
21/03/2025 13:56;3;2;2;3;0;SN-957FD5-27
31/03/2025 14:18;3;2;2;3;0;SN-586292-27
14/03/2025 15:04;3;1;1;3;0;SN-C3A127-27
;2;0;0;3;0;SN-270497-37
19/11/2024 17:58;3;3;2;3;0;SN-77CBA9-3Y
20/11/2024 16:00;3;3;2;3;0;SN-E3CB3D-3Y
01/04/2025 09:14;3;1;2;3;0;SN-5576D2-3Y
;2;0;0;3;0;SN-CEDEDD-3Y
18/03/2025 17:49;3;3;2;3;0;SN-394BAF-3Y
12/02/2025 18:26;3;2;2;3;0;SN-A10B04-3Y
24/01/2025 13:01;3;1;2;3;1;SN-A11599-3Y
30/11/2024 18:05;3;3;2;3;0;SN-A01D1D-3Y
09/12/2024 16:42;3;2;2;3;0;SN-D07B89-3Y
14/03/2025 16:51;3;2;2;3;0;SN-823026-3Y
;2;0;0;3;0;SN-BF1D68-WY
09/01/2025 14:59;3;3;2;3;0;SN-2E3B02-WY
17/03/2025 13:36;3;3;2;3;0;SN-3F4923-WY
13/02/2025 13:53;3;3;2;3;0;SN-7445C1-WY
21/02/2025 14:20;3;2;2;3;0;SN-6D823F-WY
28/01/2025 17:53;3;2;2;3;0;SN-BB9902-WY
05/02/2025 14:44;3;1;1;3;0;SN-33DA8E-WY
11/02/2025 16:25;3;2;2;3;0;SN-40DB15-WY
10/02/2025 12:35;3;1;2;3;0;SN-14320C-WY
13/02/2025 12:52;3;3;2;3;0;SN-607F44-WY
;2;0;0;3;0;SN-9D1495-W7
12/11/2024 13:35;3;2;2;3;0;SN-4D8D00-WY
15/11/2024 15:03;3;3;2;3;0;SN-08C4B5-WY
18/01/2025 08:43;3;2;2;3;0;SN-9BE891-WY
13/02/2025 13:33;3;1;1;3;0;SN-E6635B-WY
04/12/2024 11:20;3;2;2;3;0;SN-D003E3-WY
21/11/2024 17:08;3;3;2;3;0;SN-6969ED-K7
09/01/2025 15:56;3;3;2;3;0;SN-C79E7D-K7
15/03/2025 10:25;3;1;1;3;0;SN-92ABF7-K7
22/11/2024 12:02;3;2;2;3;0;SN-9A775F-K7
08/02/2025 14:18;3;1;2;3;0;SN-9CAF5F-K7
03/12/2024 14:32;3;1;2;3;0;SN-3B177E-K7
19/03/2025 17:29;3;3;2;3;0;SN-145223-KY
;2;0;0;3;0;SN-B8865F-KY
21/02/2025 18:45;3;1;1;3;0;SN-9E66FC-KY
14/02/2025 20:20;3;3;2;3;0;SN-2BFE3C-KY
08/04/2025 14:05;3;1;1;3;0;SN-ADE2EF-KY
28/02/2025 07:50;3;1;1;3;0;SN-AD9868-KY
18/11/2024 20:15;3;2;2;3;0;SN-5D67D4-KY
18/11/2024 15:05;3;1;2;3;0;SN-44712E-KY
22/10/2024 14:41;3;3;2;3;0;SN-1B816B-KY
28/11/2024 16:08;3;3;2;3;0;SN-4906FF-KY
18/02/2025 13:46;3;3;1;3;0;SN-86CFE6-KY
12/12/2024 16:23;3;1;2;3;0;SN-A11093-V7
17/12/2024 15:44;3;1;1;3;0;SN-A83C56-V7
02/04/2025 10:51;3;1;1;3;0;SN-73BFE1-V7
14/02/2025 14:10;3;3;2;3;0;SN-E6DFE9-V7
19/02/2025 19:46;3;3;2;3;0;SN-F151FB-V7
;2;0;0;3;0;SN-E7D3AD-VY
08/10/2024 15:33;3;3;2;3;0;SN-D3DF89-VY
30/10/2024 17:12;3;3;2;3;0;SN-A4E964-VY
16/01/2025 11:10;3;3;2;3;0;SN-3ABF59-V7
12/10/2024 14:03;3;3;2;3;0;SN-6C471A-X7
26/11/2024 16:04;3;3;2;3;0;SN-577B49-X7
18/03/2025 17:50;3;3;2;3;0;SN-1134BA-XY
;2;0;0;3;0;SN-C85B17-XY
12/02/2025 14:50;3;3;2;3;0;SN-8DF93B-X7
14/02/2025 20:20;3;2;2;3;0;SN-5A0F8F-X7
05/09/2024 18:32;3;3;2;3;0;SN-EF10A6-X7
14/02/2025 20:18;3;2;2;3;0;SN-ADE971-X7
14/12/2024 12:39;3;1;1;3;0;SN-592B79-X7
14/02/2025 20:16;3;3;2;3;0;SN-A83F3F-X7
;2;0;0;3;0;SN-4A9027-X7
02/04/2025 20:06;3;1;1;3;0;SN-28740F-X7
19/03/2025 15:12;3;2;2;2;0;SN-1E83DA-27
26/02/2025 15:22;3;3;2;2;0;SN-481112-27
25/02/2025 22:08;3;1;1;2;0;SN-3E5602-9Y
20/03/2025 16:24;3;1;1;2;0;SN-DAA397-9Y
20/02/2025 14:15;3;3;2;2;0;SN-401296-X7
15/03/2025 14:22;3;2;2;2;0;SN-4464D9-X7
;2;0;0;2;0;SN-917E81-XY
28/03/2025 11:09;3;2;2;2;0;SN-90273F-XY
24/03/2025 14:56;3;3;2;2;0;SN-E79FFF-37
;2;0;0;2;0;SN-7EE668-1Y
05/12/2024 18:29;3;1;1;2;0;SN-4A081E-1Y
31/01/2025 17:23;3;3;2;2;0;SN-900079-1Y
;2;0;0;2;0;SN-F0BBAF-1Y
31/01/2025 11:27;3;3;2;2;0;SN-78F601-87
19/12/2024 13:22;3;1;1;2;0;SN-EC7D3D-XY
13/02/2025 14:39;3;1;1;2;0;SN-62F608-XY
21/11/2024 18:50;3;1;1;2;0;SN-FEE4BF-XY
27/03/2025 14:03;3;2;1;2;0;SN-D4A7DA-XY
;2;0;0;2;0;SN-2E5304-E7
18/03/2025 12:02;3;2;2;2;0;SN-5CAACD-E7
;2;0;0;2;0;SN-B97DE2-LY
20/12/2024 20:19;3;2;2;2;0;SN-ADDBAB-LY
;2;0;0;2;0;SN-951EF4-JY
25/03/2025 13:42;3;1;1;2;0;SN-1053AF-J7
;2;0;0;2;0;SN-5C411D-JY
;2;0;0;2;0;SN-869F53-JY
19/12/2024 10:56;3;1;1;2;0;SN-1A1EFF-9Y
31/01/2025 11:24;3;3;2;2;0;SN-E21300-9Y
;2;0;0;2;0;SN-6AB0E2-9Y
25/02/2025 18:00;3;1;1;2;0;SN-39E0F2-9Y
03/03/2025 19:02;3;1;2;2;0;SN-EE93EA-VY
04/02/2025 12:55;3;2;2;2;0;SN-0E1CDE-JY
30/10/2024 12:25;3;1;1;2;0;SN-A016A7-JY
31/03/2025 12:59;3;1;1;2;0;SN-CC8677-V7
28/03/2025 18:18;3;1;1;2;0;SN-D980B9-V7
28/11/2024 17:59;3;1;1;2;0;SN-D65021-VY
;2;0;0;2;0;SN-1BF64A-V7
06/03/2025 20:37;3;2;2;2;0;SN-5186C6-VY
06/03/2025 09:49;3;1;2;2;0;SN-2811F5-VY
27/03/2025 12:34;3;3;2;2;0;SN-39FCDE-2Y
13/09/2024 15:23;3;3;2;2;0;SN-2C6B06-WY
20/12/2024 19:51;3;2;2;2;0;SN-F3CEB6-K7
28/11/2024 11:38;3;2;2;2;0;SN-8E737E-K7
19/03/2025 09:57;3;2;2;2;0;SN-D11DEB-K7
08/02/2025 12:56;3;1;1;2;0;SN-C3D533-X7
;4;0;0;2;0;SN-12645C-X7
03/12/2024 15:23;5;1;1;2;1;SN-362501-X7
28/11/2024 10:43;3;3;2;2;0;SN-605273-X7
21/12/2024 23:59;3;3;2;2;0;SN-6325AE-X7
;2;0;0;1;0;SN-37F570-2Y
;2;0;0;1;0;SN-9726A6-2Y
;2;0;0;1;0;SN-706BE4-2Y
;2;0;0;1;0;SN-524BC0-2Y
06/02/2025 17:39;3;1;2;1;0;SN-29CFF8-2Y
25/03/2025 11:56;3;3;2;1;0;SN-F94A51-2Y
24/03/2025 16:24;3;1;1;1;0;SN-1F9B1E-2Y
06/02/2025 14:23;3;1;2;1;0;SN-4BA139-2Y
;2;0;0;1;0;SN-C614FD-2Y
29/01/2025 22:37;3;1;1;1;0;SN-9AE655-27
31/03/2025 12:05;3;1;1;1;0;SN-53CD05-27
;2;0;0;1;0;SN-BE20D0-27
;2;0;0;1;0;SN-C1BD53-27
03/02/2025 16:27;3;2;2;1;0;SN-01EF01-27
16/12/2024 14:47;3;3;2;1;0;SN-E6D0DE-27
19/03/2025 10:57;3;2;2;1;0;SN-AF7B07-27
17/03/2025 14:09;3;3;2;1;0;SN-20BAFD-27
27/01/2025 15:14;3;2;2;1;0;SN-0FF5DB-27
;2;0;0;1;0;SN-0CFCE3-27
23/01/2025 11:59;3;3;2;1;0;SN-A0A55D-27
11/01/2025 16:12;3;1;1;1;0;SN-3B88A2-27
14/01/2025 17:15;3;2;2;1;0;SN-AC9182-27
11/12/2024 08:54;3;1;1;1;0;SN-6B84A4-27
05/03/2025 14:37;3;3;2;1;0;SN-692B7D-27
;2;0;0;1;0;SN-BC261A-27
11/03/2025 13:46;3;1;2;1;0;SN-460E88-27
20/03/2025 13:30;3;2;2;1;0;SN-E7ECEC-27
;2;0;0;1;0;SN-532769-27
25/03/2025 13:46;3;2;2;1;0;SN-6E3CF6-27
19/03/2025 10:17;3;1;1;1;0;SN-82161A-27
;2;0;0;1;0;SN-71CD52-27
;2;0;0;1;0;SN-7C9865-27
28/03/2025 10:23;3;1;1;1;0;SN-BB7F3C-27
;2;0;0;1;0;SN-07C070-27
11/09/2024 14:20;3;1;1;1;0;SN-FD11B2-27
03/09/2024 12:25;3;1;1;1;0;SN-9C8A92-27
27/02/2025 07:54;3;1;1;1;0;SN-FB45C9-27
25/09/2024 15:23;3;1;1;1;0;SN-1C0E21-27
11/09/2024 15:21;3;1;1;1;0;SN-D5E915-27
05/09/2024 15:46;3;1;1;1;0;SN-0BEE76-27
01/10/2024 14:01;3;3;2;1;0;SN-724D32-27
14/01/2025 16:43;3;1;1;1;0;SN-6BB4E3-27
05/11/2024 14:38;3;2;2;1;0;SN-052A79-27
27/11/2024 09:51;3;3;2;1;0;SN-8C5DC6-27
11/11/2024 14:54;3;3;2;1;0;SN-B3EB1C-27
04/12/2024 16:41;3;1;1;1;0;SN-F85DB8-27
02/12/2024 13:46;3;3;2;1;0;SN-3B8FEE-27
26/11/2024 15:29;3;2;2;1;0;SN-20C7E4-27
13/11/2024 16:12;3;1;1;1;0;SN-B96BD3-27
;2;0;0;1;0;SN-7555CB-27
;2;0;0;1;0;SN-B1926F-27
;2;0;0;1;0;SN-577F63-27
;2;0;0;1;0;SN-687A2B-27
10/10/2024 10:14;3;1;1;1;0;SN-86E03A-97
14/11/2024 10:19;3;3;2;1;0;SN-DAEBDA-9Y
23/10/2024 18:24;3;2;2;1;0;SN-074020-9Y
01/12/2024 01:28;3;3;2;1;0;SN-AD3D18-9Y
30/10/2024 16:45;3;1;2;1;0;SN-498A8D-9Y
11/11/2024 15:34;3;2;2;1;0;SN-2FC342-9Y
13/11/2024 16:28;3;1;1;1;0;SN-9687C4-9Y
20/02/2025 10:54;3;1;2;1;0;SN-55EE7C-9Y
;2;0;0;1;0;SN-258D26-9Y
29/01/2025 14:52;3;2;2;1;0;SN-E64A45-9Y
13/02/2025 14:54;3;1;1;1;0;SN-357E0A-9Y
18/03/2025 19:00;3;1;1;1;0;SN-221B8A-9Y
04/03/2025 15:22;3;2;2;1;0;SN-19A228-9Y
;2;0;0;1;0;SN-C7D9E5-9Y
31/01/2025 08:33;3;1;2;1;0;SN-D3E2BD-9Y
;2;0;0;1;0;SN-2016F7-9Y
02/04/2025 10:16;3;1;1;1;0;SN-8EBDB3-9Y
11/02/2025 18:04;3;2;2;1;0;SN-12CA62-9Y
07/03/2025 13:41;3;3;2;1;0;SN-F75AD4-9Y
;2;0;0;1;0;SN-D5331E-9Y
12/02/2025 19:26;3;2;2;1;0;SN-419799-9Y
07/02/2025 11:38;3;2;2;1;0;SN-55417C-9Y
13/03/2025 11:41;3;3;2;1;0;SN-0961C7-97
20/02/2025 14:15;3;2;2;1;0;SN-0705BE-97
31/03/2025 19:18;3;2;2;1;0;SN-9AE2D6-97
21/03/2025 15:00;3;1;1;1;0;SN-998EF8-97
;2;0;0;1;0;SN-1824A9-97
;2;0;0;1;0;SN-B52297-97
04/04/2025 16:15;3;3;2;1;0;SN-3817E1-97
17/03/2025 14:04;3;2;2;1;0;SN-F0DA20-9Y
27/02/2025 13:39;3;2;2;1;0;SN-648512-9Y
11/03/2025 09:55;3;3;2;1;0;SN-32956C-9Y
;2;0;0;1;0;SN-C96209-9Y
13/02/2025 15:05;3;1;1;1;0;SN-2BC8C9-9Y
12/03/2025 18:55;3;1;1;1;0;SN-CC1659-9Y
;2;0;0;1;0;SN-56EEE9-9Y
;2;0;0;1;0;SN-3B7FDF-9Y
20/03/2025 15:45;3;3;2;1;0;SN-E1CE62-9Y
03/01/2025 10:20;3;1;1;1;0;SN-BBDA61-9Y
13/09/2024 18:23;3;2;1;1;0;SN-42C475-9Y
28/02/2025 08:26;3;1;1;1;0;SN-40543B-9Y
17/09/2024 18:34;3;3;2;1;0;SN-EF49FF-9Y
18/03/2025 17:11;3;3;2;1;0;SN-7FC654-9Y
15/11/2024 15:42;3;3;2;1;0;SN-6F6C88-9Y
05/12/2024 20:49;3;1;2;1;0;SN-4C584E-9Y
10/12/2024 16:36;3;2;2;1;0;SN-A68832-9Y
14/11/2024 16:20;3;3;2;1;0;SN-F7C5BD-9Y
10/12/2024 15:57;3;1;1;1;0;SN-51D338-9Y
29/01/2025 15:03;3;1;1;1;0;SN-05D3B3-9Y
21/01/2025 16:35;3;1;1;1;0;SN-109CA1-X7
01/04/2025 12:07;3;2;2;1;0;SN-766D82-X7
;2;0;0;1;0;SN-A0AE17-X7
;2;0;0;1;0;SN-5EFCDD-X7
;2;0;0;1;0;SN-B19C53-X7
15/01/2025 17:24;3;1;1;1;0;SN-EC5935-X7
08/10/2024 15:55;3;1;1;1;0;SN-A63CF1-X7
21/08/2024 15:03;3;3;2;1;0;SN-F9FD56-X7
04/09/2024 17:38;3;2;2;1;0;SN-00249F-X7
11/02/2025 14:22;3;1;1;1;0;SN-93DEA8-X7
10/02/2025 22:48;3;2;2;1;0;SN-D25D78-X7
11/02/2025 09:41;3;1;1;1;0;SN-3F85D6-X7
;2;0;0;1;0;SN-FAC72A-X7
03/04/2025 11:29;3;2;2;1;0;SN-E6FC98-X7
04/03/2025 11:27;3;2;2;1;0;SN-8FBDAF-X7
26/02/2025 14:25;3;1;1;1;0;SN-1CF32A-X7
13/03/2025 09:22;3;3;2;1;0;SN-74F749-X7
11/02/2025 12:41;3;3;2;1;0;SN-D2D2B0-X7
;2;0;0;1;0;SN-2B1E23-X7
25/02/2025 14:49;3;3;2;1;0;SN-71205F-X7
30/01/2025 08:16;3;2;2;1;0;SN-AEFB94-X7
31/01/2025 13:54;3;3;2;1;0;SN-CC5492-X7
13/02/2025 14:45;3;3;2;1;0;SN-2A5D2A-XY
05/12/2024 12:24;3;2;2;1;0;SN-FD5B8C-XY
27/12/2024 13:01;3;1;1;1;0;SN-61E9F2-XY
14/03/2025 08:10;3;3;2;1;0;SN-96D32E-XY
19/03/2025 11:25;3;2;2;1;0;SN-E95262-XY
18/11/2024 17:02;3;3;2;1;0;SN-C16A9B-XY
05/11/2024 14:48;3;3;2;1;0;SN-E83296-XY
03/10/2024 13:16;3;1;1;1;0;SN-9C333F-XY
28/02/2025 17:02;3;1;1;1;0;SN-38784E-XY
;2;0;0;1;0;SN-2C60DE-XY
;2;0;0;1;0;SN-CDE33B-X7
;2;0;0;1;0;SN-861FF3-X7
;2;0;0;1;0;SN-FE68D8-X7
;2;0;0;1;0;SN-DEB282-X7
;2;0;0;1;0;SN-88D7DA-X7
07/04/2025 11:53;3;2;2;1;0;SN-F5292C-X7
08/04/2025 08:12;3;1;1;1;0;SN-6ABD83-X7
;2;0;0;1;0;SN-D81FCE-X7
;2;0;0;1;0;SN-D99C56-X7
;2;0;0;1;0;SN-828C66-X7
20/03/2025 18:59;3;2;2;1;0;SN-2BFA89-X7
21/03/2025 06:51;3;3;1;1;0;SN-B0B92E-X7
04/04/2025 12:05;3;2;2;1;0;SN-73D11E-X7
31/03/2025 17:32;3;2;2;1;0;SN-9C4E04-X7
04/04/2025 09:27;3;3;2;1;0;SN-B6C5C1-X7
28/02/2025 07:16;3;1;1;1;0;SN-905311-X7
28/11/2024 10:47;3;3;2;1;0;SN-DA2B5F-X7
13/03/2025 09:27;3;3;2;1;0;SN-61416A-X7
13/12/2024 10:48;3;1;1;1;0;SN-554678-X7
;2;0;0;1;0;SN-8DCED4-XY
28/02/2025 15:55;3;1;1;1;0;SN-F85FB5-XY
18/03/2025 08:15;3;1;1;1;0;SN-943DC6-XY
;2;0;0;1;0;SN-EA5550-XY
;2;0;0;1;0;SN-2F545C-XY
23/09/2024 14:04;3;3;2;1;1;SN-37A8AA-X7
16/07/2024 14:14;3;1;1;1;0;SN-3A4E7D-X7
20/01/2025 15:37;3;3;2;1;0;SN-C3EA2B-37
15/01/2025 16:51;3;2;2;1;0;SN-3C0C8E-37
13/02/2025 09:13;3;3;2;1;0;SN-DF4588-37
31/03/2025 13:34;3;1;2;1;0;SN-103C8E-37
